,name,year,artists
10,Oouin,1920,['Dorville']
20326,Play Me,1920,['696']
20321,Taxidermy Exterminator,1920,['Jodoli']
20316,SERTRALINE,1920,['Cake!']
20313,My Sportin' Man,1920,['Mamie Smith']
20309,Крысы,1920,['MIRONOV']
20297,Bébé,1920,"['ST', '1920Johnny', '98', 'Barracuda', 'Brbk', 'Niklas O', 'R2S']"
20296,Foolin',1920,"['Gnarpg', 'EA Ev']"
20284,Mago,1920,"['ST', 'Barracuda', 'R2S', 'Niklas O', 'Aythami']"
20266,Killa,1920,['OsamaBeenLeanin']
195,Ran Off on Probation Twice,1920,['OsamaBeenLeanin']
193,Desde Cero,1920,['GR Quiroz']
168,Messy Measurements,1920,['Astral Decay']
20278,Black Light Casting Couch,1920,['Jodoli']
121,Undercovers,1920,['OsamaBeenLeanin']
25,Taro Yard Slaughter House,1920,['Jodoli']
162,Tard la Nuit,1920,"['Miezko227', 'Alibi Montana']"
32,Oh Maurice,1920,['Maurice Chevalier']
43,#NOHOOK,1920,"['Broke God', 'Pcxix']"
73,Nugget,1920,['LolCat']
74,Wock(y),1920,['Raff']
90,Head Off,1920,['Justrock']
91,Radar,1920,"['ST', '1920Johnny', 'Niklas O', 'Yahziz', 'Kaizoku']"
92,Four,1920,"['ST', '1920Johnny', '98', 'Barracuda', 'Niklas O']"
28,Comme à l'époque,1920,['ST']
112,"SideRaq 2 Salinas, Pt. 2 (Outro)",1920,['OsamaBeenLeanin']
96,The Logo,1920,['Jodoli']
306,Oui Non,1921,['Mistinguett']
301,Ma Bo,1921,"['Savy', 'Priscilla Sani']"
206,Il Etait Syndiqué,1921,['Fortugé']
260,Tedhak Saking,1921,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat']
290,Un Agent Courait,1921,['Georgius']
295,Ski Mask,1921,['SAVY..TLG']
200,Clancy Lowered the Boom,1921,['Dennis Day']
300,China Hereje - Remasterizado,1921,['Ignacio Corsini']
353,La Brisa - Remasterizado,1921,['Ignacio Corsini']
340,Pour Se Faire Remarquer,1921,['Georgius']
337,Sabah Taksim,1921,['Neyzen İhsan Bey']
314,Popular Tradición de Esta Tierra - Remasterizado,1921,['Ignacio Corsini']
296,Pobre Mi China - Remasterizado,1921,['Ignacio Corsini']
313,Não Vou Desistir,1921,"['Rafa', 'Delandro']"
432,Capítulo 1.1 - Banquero Anarquista,1922,['Fernando Pessoa']
450,Capítulo 2.5 - Banquero Anarquista,1922,['Fernando Pessoa']
448,Méfiez Vous D'anatole,1922,['Georgius']
447,Capítulo 1.24 - Banquero Anarquista,1922,['Fernando Pessoa']
446,Capítulo 2.24 - Banquero Anarquista,1922,['Fernando Pessoa']
437,Capítulo 2.22 - Banquero Anarquista,1922,['Fernando Pessoa']
440,L'enfer,1922,['Uli']
434,Capítulo 2.23 - Banquero Anarquista,1922,['Fernando Pessoa']
451,Capítulo 1.26 & Capítulo 2.1 - Banquero Anarquista,1922,['Fernando Pessoa']
442,Capítulo 1.17 - Banquero Anarquista,1922,['Fernando Pessoa']
452,Capítulo 1.11 - Banquero Anarquista,1922,['Fernando Pessoa']
471,Capítulo 2.18 - Banquero Anarquista,1922,['Fernando Pessoa']
462,Capítulo 1.4 - Banquero Anarquista,1922,['Fernando Pessoa']
466,Capítulo 1.25 - Banquero Anarquista,1922,['Fernando Pessoa']
467,Capítulo 2.6 - Banquero Anarquista,1922,['Fernando Pessoa']
468,Capítulo 1.15 - Banquero Anarquista,1922,['Fernando Pessoa']
469,Capítulo 1.20 - Banquero Anarquista,1922,['Fernando Pessoa']
470,Capítulo 1.6 - Banquero Anarquista,1922,['Fernando Pessoa']
474,Capítulo 1.19 - Banquero Anarquista,1922,['Fernando Pessoa']
475,Capítulo 2.15 - Banquero Anarquista,1922,['Fernando Pessoa']
476,Sur La Pointe Des Pieds,1922,['Georgius']
429,Capítulo 2.11 - Banquero Anarquista,1922,['Fernando Pessoa']
456,Monigote - Remasterizado,1922,['Ignacio Corsini']
428,Capítulo 2.2 - Banquero Anarquista,1922,['Fernando Pessoa']
443,Capítulo 1.3 - Banquero Anarquista,1922,['Fernando Pessoa']
426,Capítulo 2.10 - Banquero Anarquista,1922,['Fernando Pessoa']
389,Pas Pour Moi,1922,['Maurice Chevalier']
387,Capítulo 2.20 - Banquero Anarquista,1922,['Fernando Pessoa']
382,C'est La Mode Et Voila Tout,1922,['Perchicot']
378,Capítulo 1.2 - Banquero Anarquista,1922,['Fernando Pessoa']
377,Capítulo 2.3 - Banquero Anarquista,1922,['Fernando Pessoa']
375,Capítulo 1.22 - Banquero Anarquista,1922,['Fernando Pessoa']
390,Capítulo 1.16 - Banquero Anarquista,1922,['Fernando Pessoa']
371,Capítulo 1.10 - Banquero Anarquista,1922,['Fernando Pessoa']
369,Capítulo 1.23 - Banquero Anarquista,1922,['Fernando Pessoa']
366,Lazy Boi,1922,['Uli']
365,Capítulo 2.25 - Banquero Anarquista,1922,['Fernando Pessoa']
