song,lyrics,year
Lazy River," Yeah, haa haa, so, haa haa, wait on wait on Up lazy river where the old mill run Meet the lazy river with the noon day sun Linger in the shade of a kind ole tree Throw away your troubles, dream a dream of me, dream a dream of me Up the lazy river where the robin's sung Wakes to bright new mornin', as we live along Blue skies up above everyone in love Up the lazy river, how happy we will be, mama mama? Ohh, Up a lazy river Ohh, you've gone Boy, my river my long river Up the lazy river, hmm river, ohh you river Ohh, you've gone Ohh you river You got that John Alexander Swing out there on your ma's river boy ",1923
Ain't Misbehavin'," No one to talk with, all by myself No one to walk with, I'm happy on the shelf babe Ain't misbehavin', savin' my love for you I know for certain the one I love I'm through with flirtin', you that I'm thinkin' of Ain't misbehavin' Oh savin' my love oh baby, love for you Like Jack Horner in a corner Don't go nowhere and I don't care Oh your kisses worth waitin' for, babe I don't stay out late, don't care to go I'm home about eight, me and my radio, babe Ain't misbehavin' Savin' all my love for you ",1923
Blue Again," Blue again, blue again And you darn well it's you again You said last night we were through again And now I'm blue again I'm alone again, alone again I'm out around on my own again There's a mocking bird that's flown again And I'm alone again Now baby, though I said I hate you I love you more everyday, babe Though I aggravate you All that I'm dyin' to say that it's new again You again and we'll meet today At half past two again And tonight we'll fight again And I'll be blue again ",1923
"Chinatown, My Chinatown"," Now ladies and gentlemen, we have a little novelty Here for you here this evening We'll have a little argument between the saxophone and the trumpet 'Cause these cats just told me they're going to get away! And, uh, the little trumpet just said it's going to do the same Ain't that right little trumptet? Say 'Yes, sir!' Oh, that little devil But before we, uh, riff we're going to chirp a few for you this time So get your chops together boys While we mug lightly, slightly and politely Chinatown, my Chinatown Where the lights are low Oh, my Chinatown Oh, you raffer, you! Look out there saxopone What's the matter with you? Let's go! Look at them cats getting away Looks like they're after me, look at that you all But I'm ready, I'm ready, so help me I'm ready, look out here ",1923
When It's Sleepy Time Down South," Ah, the pale moon's shining the fields below Dark is crooning songs soft and low You needn't tell me, boy, because I know It's sleepy time down south And soft winds blowing through the pinewood trees Folks down there live a life of ease When old mammy falls upon her knees It's sleepy time down south Oh, steamboats on the river a coming, a going Splashing the night away You hear those banjos ringing, the dark is singing They dance till the break of day Dear old southland with his dreamy songs Takes me back to the gallent John Oh, how I'd love to hold her in my arms When it's sleepy time way down, down south ",1923
All Of Me," Yes, all of me, why not take all of me baby Yes, can't you see? I'm no good without you Take my arms, I'll never use them Take my lips, I want to lose them Your goodbye left me with eyes that cry How can I go on dear without you? You took the part that once was my heart Why not take all of me All of me, now please take all of me Can't you see, I'm no good without you Take my lips, I'd rather lose them Take these arms, I'll never never never ever use them Your goodbye, left me with eyes that cry How can I, go on dear without you You took that part, what once was my heart So why not take all of me Baby please take all of me ",1928
Mack the Knife," Oh, the shark has pretty teeth, dear And he shows them, pearly white Just a jackknife has MacHeath, dear And he keeps it out of sight When the shark bites with his teeth, dear Scarlet billows start to spread Fancy gloves though wears MacHeath, dear So there’s not a trace, mmm of red On the sidewalk, Sunday mornin', baby Lies a body, oozin' life Someone sneakin' around the corner Is the someone, Mack the Knife? From a tugboat, by the river A cement bag's drooppin' down Yeah, the cement's just for the weight, dear Bet you Mack, he's back in town Looky here Louie Miller, disappeared, dear After drawing out his cash And MacHeath spends like a sailor Did our boy do somethin' rash? Sukey Tawdry, Jenny Diver Lotte Lenya, Sweet Lucy Brown Oh, the line forms on the right, dears Now that Mack, he's back in town Take it, Satch ",1928
I Feel Like Going Home," Well, it gettin' late on into the evenin' and I feel like Like blowin' my home When I woke up this mornin' all I had I had was gone, gettin' Late on in the evenin', I feel like, like blowin' my home Well I woke up this mornin', and all I had was gone (yeah!) Well, brooks run into the ocean, ocean run in, into the sea If I don't find my woman, somebody gonna sure bury me Brooks run into the ocean, and the ocean run into the sea Well now, if I don't find my baby, woo-hoo, well man somebody gonna bury me (Johnny, you know what I mean, dontcha?) (Yeah!) (That remind me of 1967, Johnny When I had a hard time with a lot of girls Finally got myself straight, I got someone I love ) (Yeah! Yeah!) Well, minutes seemed like hours (no!), and hours seemed like days (Yeah!) Seemed like my woman, boy, would stop her old evil ways Minutes seemed like hours, and hours seemed like days Well, seems like my baby, woo-hoo, well man Would stop her low-down ways ",1928
Preachin' Blues (Up Jumped The Devil)," I's up this mornin', ah, blues walkin' like a man I's up this mornin', ah, blues walkin' like a man Worried blues, give me your right hand And the blues fell mama's child, tore me all upside down Blues fell mama's child, and it tore me all upside down Travel on, poor Bob, just can't turn you 'round The blues, is a low-down shakin' chill (Yes, preach 'em now) Is a low-down shakin' chill You ain't never had 'em I, hope you never will Well, the blues , is a achin' old heart disease (Do it now, you gon' do it? Tell me all about it) The blues, is a low-down achin' heart disease Like consumption, killing me by degrees I can study rain, oh oh drive, oh oh drive my blues I been studyin' the rain and, I'm 'on drive my blues away Goin' to the 'stil'ry, stay out there all day ",1928
Lazy River," Yeah, haa haa, so, haa haa, wait on wait on Up lazy river where the old mill run Meet the lazy river with the noon day sun Linger in the shade of a kind ole tree Throw away your troubles, dream a dream of me, dream a dream of me Up the lazy river where the robin's sung Wakes to bright new mornin', as we live along Blue skies up above everyone in love Up the lazy river, how happy we will be, mama mama? Ohh, Up a lazy river Ohh, you've gone Boy, my river my long river Up the lazy river, hmm river, ohh you river Ohh, you've gone Ohh you river You got that John Alexander Swing out there on your ma's river boy ",1929
