song,lyrics,year
Play Me," Everybody's an Enemy telling me lies and it's killing me why they all want to get rid of me Everybody's my enemy Several try to disguise the devil in them Wanting to get into my cerebellum but I'm Ready and willing to tell them that I can't f with them Exhale so hard it got my chest swelling like my dick does when watching nikkid women do sick stuff on my porn collection on television Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy Watching my own back strapped in chrome, to my homies where the tombstones at, where the hoes at? Cuz to many didn't act like dikes, hermaphrodites with benzene, amen Look at the trash they biting The life in times is kinda weaker like the time and life of the sandman on Apollo theater imagine that another black with a hook who pulls the wack talent off the stage I'm enraged Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy You fill your lies around me and you think you've won You feel you can control me with the things you've done You think that you can take me you think that you can play me you're going to start to hate me I feel that you disgraced me Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy ",1920
SERTRALINE," Five Flucloxacillin rattle in the pit of my purse Among the ones and the twos, I never finished a course Doctor said, ""Don't drink on antibiotics"" Reply, ""It doesn't matter, hangover's always chronic anyway"" A peloton of OAPs cycling up behind me Shouting, ""Step up your paces, we've got places to be"" A pile-on of OAPs crashing in my slipstream I turn, ""Shut up your faces, I'm not your domestique"" They say if they had got the victory They'd act with so much more humility They say if they had got the victory Well, I guess we'll never know Am I a piggy bank of obsolete currency? An order of merit from country known for tyranny? Another blister pack pops, but I still feel much the same Thirty-one, and depression is a young man's game Found a fiver screwed up inside a prescription receipt From the salbutamol (No, a gift from the sertraline) Hallowed be somnolence brought on by the tramadol Damned be the knowledge that's it, now you have tried 'em all A peloton of OAPs cycling up behind me Shouting, ""Step up your paces, we've got places to be"" A pile-on of OAPs crashing in my slipstream I turn, ""Shut up your faces, I'm not your domestique"" They say if they had got the victory They'd act with so much more humility They say if they had got the victory Well, I guess we'll never know Well, I guess we'll never know Well, I guess we'll never know Well, I guess we'll never know ",1920
Крысы,,1920
Bébé," It's got to be you reading my letter Not your hired hand I don't know how to say it no better I love you and the band Never heard rockin' like you could Howling like you can It gets me thinking of Johnny B. Goode But you know you ain't no man When I heard you play I knew your name should be changed We're all dog panicked and you are to blame Everybody ought to call you bebe le strange You look so insane We gave you a name bebe le strange I wish I knew what you're really like A touch so shy and fine But the way you move with that guitar Just gives me other signs Here's my number give me a sign Call me back if this gets through bebe, bebe, bebe, bebe I'd never say no to you When I heard your song I knew your name should be changed Everybody ought to call you bebe le strange Under my skin you've got my mind rearranged You're so insane bebe's so strange bebe le strange ",1920
Foolin', If you're doing it for yourself And you don't care what they think I can understand having a little fun It really makes no difference to me Now you're taking it too far Why can't you see That being strung out for two weeks just to be with them is being someone you never wanted to be I don't care that you turned your back on me I do care that your turned your back on you turned your back on me Yeah you're doing it for yourself And you don't care what they think Cause you're searching for something That you will never find Something you'll never reach Guess whose making it too far Why can't you see That being strung out for two weeks Just to be with them is being Someone you never wanted to be...... ,1920
Mago," Una Noche más en la ciudad, de fondo queda el ruido de algún bar grumete a la deriva en un tapón de soledad, que quema el aire y mas. Surcando las calles sin rumbo fijo entraste en mal lugar cargado el ambiente, miradas oscuras, no puedes respirar, solo dos ojos desde la barra te invitan a sonar sientes en tu rostro algo parecido a la brisa del mar. Y ves venir un cuerpo de mujer hacia ti Y empieza a brillar la luz de tu corazon mientras unos labios se apoderan lentamente de ti y una ventana a ninguna parte se ha comenzado a abrir. Y ves venir un cuerpo de mujer hacia ti Y empieza a brillar la luz de tu corazon mientras unos labios se apoderan lentamente de ti y una ventana a ninguna parte se ha comenzado a abrir ",1920
Killa, Karanlık çökünce güne hazırlan hazır ol hazırda tut kendini biz zincirleri kırarız Ensene bineriz birden şimşek gibi ineriz şaşarsın sıkarız Evet zaman gelir olur ellerimizi kanınla yıkarız arsızca merte mert doğruya dürüstüz yanlışa insafsızca Gece ateşi yak etrafında otur sohbeti dinle geceye kimle o gece kimle avlanmaya çıkılacak karar Kara gözlü psikopatlar arar bak bu tayfa gerçek korkma seni bir kaç günlük rapçi lokma Çokbilmiş gibi konuş usta gelirse Suratında iz bırakır susta Saklıcak bir şey yok içindeki canavarı rahat bırak artık ortama çakılsın barışma Aftik bu saatten sonra istediği ici takılsın karışma Yakılsın tüm hasretler dostluklar sevgiler aksın kanın Denizde çıkarılmış balık gibi ciprin dönüp bakan piç olsun cehenneme canın Yanar ciğerin kanar kanar tüm ortam âlem bir kötü haber duydu mu delirir fıttırır benim mahallem Bir gözümü paradier Aslan diğer gözümüzde canlı Gömerler adamı toprak altına hem de canlı canlı Yok etmek benim görevim Killaaaaa Hep sabırla bekledim seçtim gördüğüm yanlışlara kardeştir diye es geçtim Baktım piç olmuş âlem bunu kafaya taktım Karanlıkta takıldım takip ettim canımı istediler geçerken başkaldırdım dedim çete Diren otuz altıda her gece tuhaf sesler geliyor bazen karanlıkta yakından ya da öteden En kral delikanlıyım diyeni susturup göt eden sesler var ya bak Bembeyaz olur susarsın bir yumrukta kan kusarsın hırlar Midene yedin mi yumruğu götünden oklava gibi bok çıkar fırlar yeah Rap yapıyorum diyorsun çok ben rapçiyim diyorsun ustayım çok Ama geçmişten bugüne bakıyorum araştırıyorum bir numaran neticen yok Tuzluyum da kokmasın amcık kendini rapci sanan kancık parlamış Kendine benzer bir ton piçkuruları toplayıp tasarlamış Rap söker söker Killa dişlerini döker aslan Hiç ummadığın anda gidersin kafana rastgelen taslan hadi haslan İyice yanıp da kavrul sürünüp ve de ezil Eşini dostunu satan rezil Yok etmek benim görevim Killlaaaa Kelepçeler ve de prangalar demir teller kapılar Kırılır yıkılır direnirsen karşında en kral yapılar dökülür çöker Sokak arası sek sek kurşunları şarjöre tek tek tak nisan al bak hedefi gözünden at Vur bak bu Toprak altında kuzu Soğukta donarsın kıştan hep kolay görünür dıştan darbe bir kıvılcım yeter yürürüz Topluca gideriz gireriz hep beraber harbe Baskın baskın bu harbi gerçek thug life crew Harbi otuz altı hardcore crew Killa Hakan harbi hardcore true Yok etmek benim görevim ,1920
Desde Cero," Hay momentos para todo Pero nunca todos van a estar ahí en cualquier momento Si tan sólo esperas a qué las cosas suceden tan sólo sucede el tiempo He perdido más por no hacer nada que mirando como se pierde el tiempo Me he sentido bien porque me miento Y ya ves que las cosas no son siempre como las pintamos Yo puedo morir de frío y afuera es verano Te juro, te engaño, te dejo y te extraño Te quiero y te hago daño sin razón Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta Se me junta tu mirada con la mía Se me junta el honestidad y la hipocresía Se me junta cada rostro de ignorancia Que yo intento hacer parecer sabiduría Se me juntan los recuerdos de tus besos Esos que ya pertenecen al pasado Y te extraño cada noche, lo confieso Aunque juré que no estoy enamorado Quiero ver el modo antes que mi miedo Quiero verme sólo pa' ver si puedo El precio de los mejores momentos Siempre ha sido tener que echarlos de menos Me acero a tu llama y hoy me congelo Y entre mis mitades ¿quién es el bueno? Y nunca tuve el coraje suficiente Pa' decir yo voy a me quedo Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta Sí no entré la razón antes de entrar en tí Lo tenía todo pa' no ser feliz Y nunca me dio por vivir la vida pero sí fingía Porque sonreí cuándo dijé yo puedo en vez de por fin Cambié el hazer por el hacer por mí Rompí el camino pa' poder seguir Mejor desde cero Que decir desde nunca ¿Y cómo darte el cielo Si nunca pisé la luna? ¿Y cómo soy sincero si nadie me pregunta? Si me ves separado es porque todo se me junta ",1920
Undercovers, ,1920
Tard la Nuit,,1920
