song,lyrics,year
Drømmeland," Jeg sætter mig på kanten af din seng, og du ler til mig. Verden svinder ind til ingenting, når jeg ser på dig. Du ligger lige så musestille, og virker ubeskriveligt lille imellem dine mange sjove dyr. Men i drømmelegen finder vi to vejen ud mod nye eventyr. Under stjernerne på himlen sejler du med mig. Luk nu stille dine øjne, så er vi på vej. Vi sejler over vandet og ind i drømmelandet, du og jeg. Og hvis du bliver skræmt af vinden, så kysser jeg dig blidt på kinden. Hvor du end er i fantasien, vil jeg altid være her hos dig, min kære. Læg nu trygt din hånd i min. Under stjernerne på himlen, sejler du med mig. Luk nu stille dine øjne, så er vi på vej. Vi sejler over vandet og ind i drømmelandet, du og jeg. Drømmelandet, du og jeg ",1938
Shine - Live," I feel good, I got life I got love so I'm aight Keep your faith, it's okay You'll be fine, you'll be straight Get back up ay, right back up ay Can't give up ay, can't give up ay I feel good, I got life I got love so I'm aight I'm gon' rough I got stripes I am him It's no hype Raise that bar Raise that price Find your way Through your life Do your best, ay Doing best, ay Do collect, ay Do protect, ay Everything that you built What it took to get here? How you think it get chills Break it down and rebuild I'm three blessed Way too blessed But in these boots I'm possessed Don't you worry Don't you stress I see my ex I wish her best I'm on that yacht I'm on my block I'm in that draw I'm out that draw Do lil yoga I like that hot Please don't stop In my spot I feel good, I got life I got love so I'm aight Keep your faith, it's okay You'll be fine, you'll be straight Get back up ay, right back up ay Can't give up ay, can't give up ay I feel good, I got life I got love so I'm aight, woo I woke up today and I feel great, I talking super blessed I just got to say I curved the faith, worked through my euro steps I say thank you Jesus, Lamborghini, fuck yo Christmas list I can really call it, once you baling ain't no sportsmanship Never get way too low, I never get way too high Looking outside my fears that really made me rise Please don't kill my vibe, please don't kill my vibe Everything cool with a nigga like me until you cross that line Man, they can't move when the streets like us It's a must, you pay that fine Niggling dimes that's what I started with Back when the card hit Wake up the zone One of the element Black is the elegance I wanna shine, go where you never been Do what you never did Do it again I know the feeling of win I want it never to end I'm on ten I'm on hen Running broads Making plays Again No excuses Work the juices I feel good, I got life I got love so I'm aight Keep your faith, it's okay You'll be fine, you'll be straight Get back up ay, right back up ay Can't give up ay, can't give up ay I feel good, I got life I got love so I'm aight, woo ",1938
All God's Chillun Got Rhythm," Chillun', listen here to me This is my philosophy To see me through the day To scare my cares away All God's Chillun Got Rhythm All God's Chillun got swing Maybe haven't got money Maybe haven't got shoes All God's Chillun Got Rhythm For to push away the blues Yeah ! All God's Chillun got trouble Trouble don't mean a thing When they start to go ho ho ho de ho Troubles bound to go 'way, say! All God's Chillun Got Swing. ",1938
Body and Soul - Live," I wanna taste it Feel it in my bones Gonna reach for the sky I got wings I can fly on my own I'll go the distance You'll never see me crawl Cause I'm over the hill In for the thrill of it all And you know Easy come and easy go I can feel the fire glow In my body and soul Live until it hurts Wanna feel it Fight for all it's worth Take on the world because it's mine, all mine I ain't gonna sit and waste my time Live until it hurts Spread my wings and Fly like a bird It's better to burn out than to fade away I'll stand up until my dying day I'm gonna live it up Take it as it comes Have a piece of the pie Feel like a wild on the run I'm gonna walk on Never gonna rest When I'll go for the lot You know I'll stand up to the test Wanna win Gonna put the wheels in spin And enjoy the state I'm in Feel the magic, raise some hell Live until it hurts Wanna feel it Fight for all it's worth I'll take on the world because it's mine, all mine I ain't gonna sit and waste my time Live until it hurts Spread my wings and Fly like a bird It's better to burn out than to fade away I'll stand up until my dying day I'm running with the devil I'll be kicking up some dust I'll push it to the limit Cause my motive is my lust I'm lit up like a rocket Ready for take off tonight Nothing's gonna stand in my way I'll come on strong and live for today Cause nobody knows what tomorrow will show Got a hold on life and I can't let go I can't let go Live until it hurts Wanna feel it Fight for all it's worth Take on the world because it's mine, all mine I ain't gonna sit and waste my time Live until it hurts Spread my wings and Fly like a bird Fly free as a bird Live until it hurts Until it, until it, until it, until it, until it It hurts, yeah ",1938
Avalon - Live," I could live life alone And never fill the longings of my heart The healing warmth of someone's arms And I could live without dreams And never know the thrill of what could be With every star so far and out of reach I could live without many things And I could carry on, but... I couldn't face my life tomorrow Without Your hope in my heart I know I can't live a day without You Lord, there's no night and there's no morning Without Your loving arms to hold me You're the heartbeat of all I do I can't live a day without You I could travel the world See all the wonders beautiful and new They'd only make me think of You And I could have all life offers Riches that were far beyond compare To grant my every wish without a care Oh, I could do anything, oh yes But if You weren't in it all... I couldn't face my life tomorrow Without your hope in my heart I know I can't live a day without You Lord, there's no night and there's no morning Without Your loving arms to hold me You're the heartbeat of all I do I can't live a day without You Oh, Jesus, I live because You live You're like the air I breathe Oh, Jesus, I have because You give You're everything to me I couldn't face my life tomorrow Without your hope in my heart I know I can't live a day without You Lord, there's no night and there's no morning Without Your loving arms to hold me You're the heartbeat of all I do I can't live a day without You I couldn't face my life tomorrow Without your hope in my heart I know I can't live a day without You Lord, there's no night and there's no morning Without Your loving arms to hold me You're the heartbeat of all I do I can't live a day without You ",1938
Conclusion - Live," Yo, uh I don't drive a Bentley, or a Benz or a Beamer I don't drive an Audi or a Lamborghini either I don't push a range round town just to act paid Only money that i got is change in my ashtray I don't drive a Porsche I don't drive a rolls royce I don't drive feraris I don't even drive a volvo Wanna get up in my car you have to squeeze Because my motherfucking car is Japanese I drive a Honda And no sir i did not lease i bought a god damn honda I be getting Whole Foods bitches You be getting Olive Garden bitches with the bronzer I own a Honda Spent the extra money on a vaporizer for my marijuana Grip that steering wheel Irish boy with a mean left hand looking like Conor Picture me rolling in a Toyota Corolla with 100,000 miles Im a veteran nothing to play with This one for the Nissans and Kias And the Hyundais or Hun-dais or the however the fuck you say it Rappers always spending their money on these pricey ass automobiles Looking like idiots I'm from the midwest with enough Whether to impress I don't want a nice car Not even a little bit All I really care about is cruising through the city With my windows down so back the hell up off me All I wanna do is wake up early in the morning Smoke a little weed and drink some fucking coffee Yeah I don't ever do hard drugs Just moderate drinking Lately I've been trying to be sober during the weekend Exercising everyday for my good health Lower the anxiety that I feel being my good self I don't need sweets I don't need fried food Grass fed butter in my coffee is a great brew Before an apple a day would keep the doctor away Then imagine what would happen if you ate two I used to feel the pressure 'til i learned a couple lessons Living life and always stressing Had no answer to my question Started thinking about the poison I put up inside of my physical body Came to the conclusion Living healthy is an essence Man, I gotta have the energy To be a better father Gotta focus So i could put a couple dollars in a closed fist Smoke a little marijuana Never smoke cigs And exercise so I don't grow tits Lift weights Compound movements Leg day Deep squats Drop down, do it Build your skills and find yourself a career Can't be 35 still living at your mom's house stupid I got friends that got habits that are so bad I guarantee they're gonna die of a heart attack You gotta make choices that positively benefit you For fucks sake how hard is that All I really care about is cruising through the city With my windows down so back the hell up off me All I wanna do is wake up early in the morning Smoke a little weed and drink some fucking coffee Yeah For the first time in my life I can see myself with my eyes closed I can see the things that I hide from the world I can see the things that only time shows So what has time shown? Time has shown That every single person I have known Is gonna suffer everyday and die alone For the first time in my life I can see myself with my eyes closed I can see the things that I hide from the world I can see the things that only time shows So what has time shown? Time has shown That every single person I have known Is gonna suffer everyday if they don't have weed and coffee Uh. caffeine and weed are drugs too mac Shut the fuck up ",1938
Our Southern Friend," Birth me of blood oil salt sugar water pales build me black jesus cause jesus can't save me shackles pulling at your hair shine me from roots out wash me form the neck down cut me fat stores take me to the tree line I'm a headin down down down down to the river cause I don't believe in medicine I'll crawl out shakin pale always got the answer I got ears all around me burn up in black smoke thick and pourin down your throat make me of bread walks listen up with ears we're divin birth me of blood oil salt sugar water pales build me black jesus shackles pulling at your hair I'm a written page and a giant man never sick in bed so i never need that medicine I'll crawl out shakin' pale always got the answer i got ears all around me tell your children we got another year comin' oil stands the legs this body speaks in tongues and croaks ""I'm headin' down"" I'll walk down to the river where we met our pails filled and spillin like our southern friends met that pail atop the rocks and moss grass grips licks about our heels and bends we don't need you we got sun for days tell your children we got another year comin' oil stands the legs this body speaks in tongue and croaks ""Im headin' down"" tell your children we spent a year in this fire copper bands and hell's getting lighter line up in lines we can only get higher tell your children we got another year comin' ",1939
Three Little Words, Do I love you yes a thousand times and lately I been going out of my mind I get the feeling you're pulling away it's gonna hurt me if you won't stay Can't stand the thought of being alone you need to be there when I get home If you could tell me just one more time it would surely ease my mind Three little words would be fine I love you I love you I need to know that you're still mine Three little words would be fine It's gotten crazy I don't understand how can love get so out of hand I've never been so uncertain before is there someone behind another door I've got to know if I'm right or wrong with mixed emotions I can't go on I've got to know that I'm not blind just lay it on the line Three little words would be fine I love you I love you... Can't stand the thought of being alone... I love you I love you... I love you I love you I love you ,1939
I Want The Waiter (With The Water)," I want the waiter with the water I want the waiter with the water for my daughter I want the waiter with the water for my daughter 'Cause my daughter has an order for some water on the tray He's got a menu that he'll send you He's got a menu that he'll send you and befriend you He's got a menu that he'll send you and befriend you Maybe lend you if you help me find the waiter with the tray While my daughter was having lunch one day She caught the waiter's eye He took one look at her, then ran away Now she's gonna die of thirst unless I find that guy I want the waiter with the water I want the waiter with the water for my daughter Don't want the butcher or the baker or the candle stick maker Want the waiter with the water on the tray She wants the waiter with the water She wants the waiter with the water for her daughter Don't want the butcher or the baker or the candle stick maker Want the waiter with the water on the tray ",1939
If I Only Had The Nerve," See those people there? They look after me This is a photograph of who I might be Man in a uniform, bride on his arm Mum always was a fool for money and charm He's been talkin' in his sleep again Sayin' he's sorry, callin' my name Sayin' how he's so ashamed Alone again in the lap of luxury Since it happened I had nothin' to say It used to bother them but now it's okay Mother cleans his dreadful house every day Scrubbing at the stains that won't go away They sent me away to the school in the park They said it would be good for me I still hear the other kids cry in the dark Alone again in the lap of luxury Is there no escape from the lap of luxury I don't remember the last time I cried I don't remember much except lies See the little girl spirallin' down This is a photograph of who she is now ""One day this will all be yours"" he said Tidy your room and straight to bed Tidy up those thoughts in your head Alone again in the lap of luxury I could be anywhere right now If I only had the nerve to leave this house Maybe somewhere by the sea Take me somewhere, anywhere please! We could make a pillow of sand and sleep We could roll We could make We could see We could scream Far, Father, Farthest Oh daddy, you do not do anymore For God's sake don't pretend to be concerned Turn into nightmares in the end Throw a party for all my friends You give up hope You settle down With your favourite soap Now wash your hands ",1939
